Day,Month,Year,mean_temp,max_temp,min_temp,meanhum,meandew,pressure,heat,wet
24,8,2001,30.9,33.4,29.3,76,26.1,1001.8,YES,NO
25,8,2001,30.3,32.2,29.1,77,25.7,1003.1,YES,NO
26,8,2001,30.4,32.6,28.9,75,25.4,1002.9,YES,NO
27,8,2001,29.3,32.1,26.1,78,25.1,1001.7,NO,NO
28,8,2001,27.3,28.5,26.5,88,25.0,1000.2,NO,YES
29,8,2001,26.9,28.3,25.6,92,25.5,1000.1,NO,YES
30,8,2001,26.5,28.5,25.4,95,25.6,1001.7,NO,YES
31,8,2001,29.1,30.6,26.9,82,25.7,1003.6,NO,YES
1,8,2002,28.8,31.5,25.8,79,24.5,1004.4,NO,NO
2,8,2002,29.2,31.6,26.2,80,25.4,1002.8,NO,YES
3,8,2002,27.6,30.0,25.9,87,25.1,999.2,NO,YES
4,8,2002,27.1,28.4,25.9,86,24.4,993.2,NO,YES
5,8,2002,27.1,29.8,25.1,84,24.1,994.2,NO,YES
6,8,2002,27.8,29.0,24.2,84,24.9,1000.6,NO,YES
7,8,2002,28.7,30.0,27.5,82,25.2,1003.2,NO,YES
8,8,2002,28.9,30.6,27.9,81,25.2,1003.8,NO,YES
9,8,2002,26.6,28.9,24.7,92,25.1,1004.8,NO,YES
10,8,2002,26.2,28.2,24.4,94,25.1,1007.0,NO,YES
11,8,2002,27.7,30.1,26.2,89,25.7,1009.3,NO,YES
12,8,2002,28.3,30.9,26.6,84,25.4,1009.7,NO,YES
13,8,2002,28.6,31.1,27.0,81,25.0,1008.1,NO,YES
14,8,2002,28.7,31.1,27.3,80,24.9,1005.9,NO,YES
15,8,2002,29.0,31.5,27.0,77,24.5,1004.0,NO,NO
16,8,2002,29.0,30.4,28.2,76,24.4,1002.5,NO,NO
17,8,2002,28.9,30.5,27.7,78,24.6,1002.4,NO,NO
18,8,2002,27.2,28.5,25.6,87,24.7,1002.4,NO,YES
19,8,2002,27.2,28.3,25.7,89,25.2,1002.5,NO,YES
20,8,2002,27.5,29.4,26.1,91,25.8,1007.2,NO,YES
21,8,2002,28.0,30.1,26.7,88,25.8,1010.8,NO,YES
22,8,2002,29.0,31.5,26.9,80,25.0,1011.0,NO,YES
23,8,2002,29.1,31.4,27.2,73,23.7,1010.9,NO,NO
24,8,2002,29.1,32.1,27.2,76,24.2,1010.4,NO,NO
25,8,2002,29.3,32.1,27.6,75,24.3,1008.5,NO,NO
26,8,2002,29.3,31.6,27.8,79,25.3,1007.1,NO,NO
27,8,2002,29.7,32.4,28.3,79,25.6,1006.8,NO,NO
28,8,2002,29.5,33.0,26.9,75,24.4,1007.8,NO,NO
29,8,2002,29.8,32.8,27.4,69,23.2,1007.2,NO,NO
30,8,2002,29.6,32.9,27.2,77,25.0,1005.7,NO,NO
31,8,2002,29.2,31.8,27.8,77,24.8,1005.9,NO,NO
1,8,2003,29.7,32.6,27.8,76,24.9,1004.6,NO,NO
2,8,2003,30.1,32.8,28.4,75,25.1,1004.4,YES,NO
3,8,2003,30.4,33.7,28.3,73,24.8,1004.3,YES,NO
4,8,2003,29.4,32.6,25.4,79,25.5,1002.9,NO,NO
5,8,2003,28.0,30.7,25.0,81,24.4,1000.9,NO,YES
6,8,2003,27.9,29.0,26.6,82,24.6,1001.0,NO,YES
7,8,2003,29.5,32.7,27.6,78,25.2,1003.6,NO,NO
8,8,2003,29.8,32.1,27.5,78,25.5,1003.4,NO,NO
9,8,2003,30.0,33.0,27.7,77,25.5,1002.2,YES,NO
10,8,2003,30.5,33.0,28.5,77,25.8,1002.5,YES,NO
11,8,2003,29.8,31.7,27.9,82,26.3,1003.8,NO,YES
12,8,2003,28.0,29.3,26.4,88,25.9,1005.1,NO,YES
13,8,2003,29.3,31.3,27.4,81,25.7,1006.9,NO,YES
14,8,2003,28.8,31.7,26.6,84,25.7,1006.2,NO,YES
15,8,2003,29.7,32.1,28.3,81,26.1,1004.8,NO,YES
16,8,2003,28.2,29.5,26.5,87,25.8,1005.5,NO,YES
17,8,2003,27.8,30.2,25.6,89,25.8,1006.9,NO,YES
18,8,2003,29.2,31.8,27.4,77,24.8,1005.6,NO,NO
19,8,2003,29.4,32.1,26.0,80,25.5,1002.8,NO,YES
20,8,2003,28.5,32.4,26.7,76,23.8,1000.9,NO,NO
21,8,2003,26.7,28.1,25.3,90,24.8,1003.8,NO,YES
22,8,2003,26.9,29.8,24.7,91,25.2,1008.4,NO,YES
23,8,2003,28.9,31.3,26.5,80,25.1,1006.9,NO,YES
24,8,2003,26.9,29.3,24.8,87,24.4,1003.7,NO,YES
25,8,2003,27.0,28.3,25.6,89,24.9,1006.4,NO,YES
26,8,2003,28.5,30.5,27.4,81,24.9,1010.0,NO,YES
27,8,2003,28.7,31.1,27.0,80,24.8,1010.1,NO,YES
28,8,2003,28.7,31.3,27.0,77,24.3,1009.6,NO,NO
29,8,2003,29.0,31.2,27.2,74,23.8,1010.4,NO,NO
30,8,2003,29.2,31.4,27.4,76,24.3,1009.2,NO,NO
31,8,2003,29.6,32.1,27.8,75,24.6,1007.4,NO,NO
1,8,2004,28.9,31.9,26.6,76,24.0,1007.2,NO,NO
2,8,2004,29.3,32.0,27.3,76,24.7,1005.8,NO,NO
3,8,2004,29.7,31.9,28.0,74,24.4,1004.4,NO,NO
4,8,2004,29.1,31.8,25.6,78,24.9,1003.0,NO,NO
5,8,2004,27.3,29.1,25.3,88,25.1,1004.0,NO,YES
6,8,2004,26.3,27.4,24.7,92,24.9,1006.8,NO,YES
7,8,2004,28.5,30.6,26.7,79,24.5,1007.2,NO,NO
8,8,2004,29.3,31.7,27.2,74,24.2,1006.1,NO,NO
9,8,2004,30.1,32.9,28.0,76,25.3,1005.5,YES,NO
10,8,2004,31.1,33.9,28.9,72,25.2,1003.4,YES,NO
11,8,2004,28.2,31.1,25.2,81,24.5,1002.3,NO,YES
12,8,2004,27.7,29.9,25.9,80,23.9,1001.3,NO,YES
13,8,2004,29.1,32.0,27.0,76,24.4,1001.1,NO,NO
14,8,2004,28.9,32.1,25.9,80,25.0,1002.7,NO,YES
15,8,2004,28.9,30.3,27.8,81,25.4,1004.5,NO,YES
16,8,2004,29.2,31.9,27.1,75,24.2,1005.1,NO,NO
17,8,2004,30.4,33.4,27.5,73,25.0,1004.2,YES,NO
18,8,2004,30.6,32.7,29.3,77,26.1,1004.0,YES,NO
19,8,2004,29.9,32.4,28.8,80,26.0,1005.1,NO,YES
20,8,2004,27.7,30.1,25.7,85,25.0,1006.4,NO,YES
21,8,2004,26.1,27.3,25.3,95,25.1,1007.3,NO,YES
22,8,2004,26.4,27.4,25.5,93,25.2,1007.5,NO,YES
23,8,2004,28.1,31.4,26.2,84,25.1,1005.4,NO,YES
24,8,2004,28.5,31.4,26.9,84,25.6,1003.1,NO,YES
25,8,2004,30.1,32.7,27.5,72,24.3,998.8,YES,NO
26,8,2004,27.5,29.6,25.3,78,23.3,994.9,NO,NO
27,8,2004,25.8,27.1,24.9,93,24.4,994.7,NO,YES
28,8,2004,26.5,29.0,25.3,92,25.1,998.1,NO,YES
29,8,2004,26.8,28.6,25.2,91,24.2,1000.1,NO,YES
30,8,2004,27.7,29.6,25.6,87,25.2,1003.2,NO,YES
31,8,2004,27.7,29.9,26.0,88,25.6,1005.4,NO,YES
1,8,2005,28.2,30.3,25.8,89,26.2,1008.4,NO,YES
2,8,2005,29.3,31.8,27.2,78,24.8,1006.1,NO,NO
3,8,2005,29.4,32.3,27.4,77,24.8,1002.9,NO,NO
4,8,2005,29.7,32.6,28.1,79,25.7,1000.9,NO,NO
5,8,2005,29.8,32.5,28.1,78,25.4,999.4,NO,NO
6,8,2005,30.3,33.5,28.4,78,25.9,997.9,YES,NO
7,8,2005,30.3,32.9,29.0,78,26.1,1000.2,YES,NO
8,8,2005,29.9,32.3,28.6,82,26.5,1003.7,NO,YES
9,8,2005,28.1,30.7,26.1,88,25.9,1004.1,NO,YES
10,8,2005,27.7,29.3,26.4,90,25.9,1002.9,NO,YES
11,8,2005,28.5,30.6,25.9,86,25.9,1004.0,NO,YES
12,8,2005,29.4,32.6,27.1,75,24.5,1000.7,NO,NO
13,8,2005,26.7,29.5,23.9,90,24.9,999.4,NO,YES
14,8,2005,28.8,30.9,24.6,81,25.2,1004.2,NO,YES
15,8,2005,27.6,29.1,26.1,88,25.4,1005.3,NO,YES
16,8,2005,26.2,27.6,25.4,94,25.2,1005.4,NO,YES
17,8,2005,25.6,26.6,24.8,96,24.8,1005.7,NO,YES
18,8,2005,25.9,28.1,25.0,92,24.4,1006.8,NO,YES
19,8,2005,25.5,26.9,24.5,92,24.1,1006.3,NO,YES
20,8,2005,25.0,26.5,23.9,93,23.7,1004.4,NO,YES
21,8,2005,27.2,27.8,25.9,90,25.5,1006.0,NO,YES
22,8,2005,28.5,30.5,27.0,82,25.0,1008.9,NO,YES
23,8,2005,28.8,31.6,27.1,80,25.0,1008.8,NO,YES
24,8,2005,27.6,30.1,25.9,85,24.8,1006.7,NO,YES
25,8,2005,27.5,29.6,26.3,80,23.8,1007.1,NO,YES
26,8,2005,27.1,28.4,26.4,88,24.9,1009.2,NO,YES
27,8,2005,27.3,28.0,26.4,89,25.2,1009.4,NO,YES
28,8,2005,28.0,29.8,26.8,86,25.4,1008.6,NO,YES
29,8,2005,28.0,30.2,26.4,89,25.9,1008.0,NO,YES
30,8,2005,28.3,30.9,25.4,85,25.3,1005.3,NO,YES
31,8,2005,29.4,32.3,26.8,76,24.6,1002.4,NO,NO
1,8,2006,28.9,32.4,26.5,78,24.7,1006.0,NO,NO
2,8,2006,26.9,28.6,25.2,84,23.9,1001.7,NO,YES
3,8,2006,25.8,27.1,24.5,90,23.9,999.2,NO,YES
4,8,2006,27.4,30.0,25.6,89,25.4,1005.0,NO,YES
5,8,2006,27.4,29.7,25.8,90,25.6,1006.9,NO,YES
6,8,2006,26.8,28.6,24.9,91,25.1,1006.6,NO,YES
7,8,2006,27.9,30.4,26.0,82,24.5,1004.7,NO,YES
8,8,2006,28.5,31.1,26.1,80,24.7,1003.7,NO,YES
9,8,2006,28.8,31.7,26.8,77,24.3,1002.0,NO,NO
10,8,2006,26.7,28.8,24.6,91,25.0,1000.7,NO,YES
11,8,2006,27.6,29.3,26.1,90,25.9,1002.3,NO,YES
12,8,2006,28.8,31.1,27.2,84,25.6,1005.0,NO,YES
13,8,2006,29.1,32.1,27.2,83,25.7,1005.0,NO,YES
14,8,2006,28.9,31.6,27.5,83,25.6,1004.1,NO,YES
15,8,2006,28.9,31.6,27.5,84,25.8,1003.8,NO,YES
16,8,2006,29.1,32.1,27.6,83,25.9,1004.3,NO,YES
17,8,2006,29.7,32.5,27.7,76,24.9,1004.7,NO,NO
18,8,2006,30.1,32.5,28.4,78,25.8,1004.1,YES,NO
19,8,2006,27.6,29.8,24.3,81,23.9,1005.2,NO,YES
20,8,2006,28.3,30.8,27.2,84,25.2,1004.0,NO,YES
21,8,2006,28.9,32.1,27.0,79,24.7,1004.4,NO,NO
22,8,2006,28.9,32.0,27.0,78,24.6,1004.9,NO,NO
23,8,2006,29.3,32.1,27.4,78,25.0,1005.4,NO,NO
24,8,2006,27.6,29.5,26.1,92,26.3,1005.5,NO,YES
25,8,2006,27.3,29.9,26.0,90,25.5,1007.0,NO,YES
26,8,2006,28.3,30.9,26.0,83,25.0,1007.8,NO,YES
27,8,2006,28.2,30.5,25.2,87,25.7,1008.6,NO,YES
28,8,2006,28.3,29.9,27.5,88,26.1,1008.8,NO,YES
29,8,2006,29.3,31.9,27.8,82,25.8,1010.8,NO,YES
30,8,2006,29.2,31.5,27.7,77,24.7,1010.9,NO,NO
31,8,2006,29.3,31.6,27.8,77,24.6,1007.9,NO,NO
1,8,2007,29.9,33.0,27.9,72,24.2,1007.0,NO,NO
2,8,2007,30.2,33.3,28.2,71,24.2,1006.4,YES,NO
3,8,2007,30.8,35.3,28.4,71,24.8,1006.1,YES,NO
4,8,2007,30.8,34.9,28.7,76,25.9,1005.6,YES,NO
5,8,2007,29.3,31.8,26.5,81,25.6,1006.4,NO,YES
6,8,2007,26.7,29.6,25.2,92,25.3,1006.7,NO,YES
7,8,2007,28.3,32.4,25.6,87,25.9,1003.5,NO,YES
8,8,2007,28.5,32.2,25.8,80,24.6,998.2,NO,YES
9,8,2007,26.7,28.9,25.4,93,25.5,995.3,NO,YES
10,8,2007,25.7,26.6,24.7,91,24.1,994.1,NO,YES
11,8,2007,26.0,26.9,25.2,91,24.4,993.5,NO,YES
12,8,2007,26.8,27.3,26.4,91,25.3,998.0,NO,YES
13,8,2007,28.1,30.4,26.4,87,25.6,1001.1,NO,YES
14,8,2007,26.4,28.5,25.1,89,24.4,999.8,NO,YES
15,8,2007,26.7,28.6,25.6,86,24.1,998.4,NO,YES
16,8,2007,25.5,26.8,24.7,92,24.0,1000.7,NO,YES
17,8,2007,27.1,30.8,24.9,85,24.2,1003.0,NO,YES
18,8,2007,28.6,32.8,25.2,76,23.8,1001.0,NO,NO
19,8,2007,28.9,32.7,25.4,78,24.5,1000.8,NO,NO
20,8,2007,28.5,29.8,27.8,83,25.4,1003.9,NO,YES
21,8,2007,28.6,29.5,28.0,80,24.9,1005.3,NO,YES
22,8,2007,27.8,28.6,25.8,85,25.0,1006.4,NO,YES
23,8,2007,28.4,29.9,27.7,82,25.0,1008.2,NO,YES
24,8,2007,28.0,31.4,25.1,86,25.4,1010.3,NO,YES
25,8,2007,27.7,30.6,24.9,86,25.1,1009.4,NO,YES
26,8,2007,27.6,30.9,25.1,83,24.3,1008.8,NO,YES
27,8,2007,27.6,30.1,25.7,89,25.6,1010.0,NO,YES
28,8,2007,27.9,31.3,25.8,87,25.5,1010.3,NO,YES
29,8,2007,28.3,31.7,25.5,85,25.5,1009.4,NO,YES
30,8,2007,28.5,30.8,26.9,80,24.6,1008.1,NO,YES
31,8,2007,28.9,32.9,26.7,75,23.9,1007.0,NO,NO
1,8,2008,28.2,31.1,26.4,84,25.3,1009.4,NO,YES
2,8,2008,29.1,32.4,27.3,77,24.6,1007.5,NO,NO
3,8,2008,29.7,34.2,27.6,75,24.6,1005.9,NO,NO
4,8,2008,29.5,33.1,27.4,76,24.6,1003.9,NO,NO
5,8,2008,27.7,29.2,25.8,80,23.9,999.3,NO,YES
6,8,2008,25.9,27.0,25.2,92,24.5,994.1,NO,YES
7,8,2008,26.5,28.8,24.2,91,24.9,1002.0,NO,YES
8,8,2008,26.0,26.9,25.0,95,25.1,1004.3,NO,YES
9,8,2008,27.8,31.5,25.7,80,24.0,1003.4,NO,YES
10,8,2008,27.7,30.0,25.9,80,23.9,1003.4,NO,YES
11,8,2008,25.7,27.1,24.5,90,23.9,1007.2,NO,YES
12,8,2008,27.9,31.2,24.6,84,24.9,1009.8,NO,YES
13,8,2008,29.0,31.8,27.0,75,24.0,1009.7,NO,NO
14,8,2008,28.8,31.5,27.1,77,24.4,1006.6,NO,NO
15,8,2008,29.0,31.9,27.5,77,24.5,1004.2,NO,NO
16,8,2008,29.1,31.7,27.6,76,24.5,1004.8,NO,NO
17,8,2008,29.5,32.9,27.9,76,24.9,1007.3,NO,NO
18,8,2008,29.8,33.5,27.7,78,25.4,1009.5,NO,NO
19,8,2008,29.5,33.7,27.8,78,25.3,1009.9,NO,NO
20,8,2008,29.7,32.3,27.0,74,24.4,1006.5,NO,NO
21,8,2008,30.6,34.3,29.0,71,24.6,1003.0,YES,NO
22,8,2008,26.6,30.4,23.7,82,22.9,992.5,NO,YES
23,8,2008,25.6,27.9,23.4,81,21.9,1005.2,NO,YES
24,8,2008,28.0,31.8,25.8,82,24.5,1009.2,NO,YES
25,8,2008,28.7,32.4,27.1,80,24.9,1010.3,NO,YES
26,8,2008,28.5,31.6,26.6,78,24.1,1009.5,NO,NO
27,8,2008,28.9,32.0,26.7,72,23.0,1009.7,NO,NO
28,8,2008,28.9,31.7,26.8,76,24.1,1009.4,NO,NO
29,8,2008,29.1,32.6,26.8,77,24.5,1008.6,NO,NO
30,8,2008,29.5,32.4,27.8,74,24.3,1008.8,NO,NO
31,8,2008,29.4,31.9,27.7,75,24.3,1009.4,NO,NO
1,8,2009,30.3,32.5,27.8,71,24.2,1002.4,YES,NO
2,8,2009,30.8,34.6,28.8,80,26.9,998.9,YES,YES
3,8,2009,29.9,34.9,27.6,80,26.0,997.5,NO,YES
4,8,2009,28.0,29.8,26.9,90,26.2,995.8,NO,YES
5,8,2009,27.6,29.4,26.4,90,25.8,997.2,NO,YES
6,8,2009,29.0,30.9,27.5,85,26.2,998.1,NO,YES
7,8,2009,29.6,32.6,27.4,78,25.3,996.2,NO,NO
8,8,2009,30.4,34.2,28.2,78,25.9,993.1,YES,NO
9,8,2009,30.3,32.4,29.1,76,25.6,994.1,YES,NO
10,8,2009,29.2,32.4,27.4,87,26.7,998.8,NO,YES
11,8,2009,28.1,29.6,26.2,91,26.4,1003.5,NO,YES
12,8,2009,27.3,27.9,26.0,88,25.1,1005.7,NO,YES
13,8,2009,26.4,27.6,24.8,91,24.7,1007.4,NO,YES
14,8,2009,27.8,30.8,25.7,88,25.5,1009.7,NO,YES
15,8,2009,29.3,31.8,27.5,80,25.5,1010.2,NO,YES
16,8,2009,29.9,33.1,28.2,77,25.4,1010.6,NO,NO
17,8,2009,29.1,30.9,27.9,81,25.5,1011.1,NO,YES
18,8,2009,28.7,32.0,27.9,85,25.9,1010.9,NO,YES
19,8,2009,29.4,32.1,27.8,82,26.0,1010.9,NO,YES
20,8,2009,29.8,33.1,28.0,74,24.6,1008.8,NO,NO
21,8,2009,30.1,32.9,28.0,70,23.8,1007.1,YES,NO
22,8,2009,30.0,32.4,28.2,73,24.6,1007.2,YES,NO
23,8,2009,30.4,34.2,28.6,75,25.3,1007.8,YES,NO
24,8,2009,30.1,33.2,28.5,72,24.6,1008.6,YES,NO
25,8,2009,29.9,33.3,28.3,78,25.6,1009.0,NO,NO
26,8,2009,30.0,33.3,28.4,79,25.9,1008.6,YES,NO
27,8,2009,30.0,33.4,28.6,78,25.8,1008.4,YES,NO
28,8,2009,30.4,33.5,28.0,73,24.8,1007.8,YES,NO
29,8,2009,30.3,33.1,29.2,78,26.1,1007.6,YES,NO
30,8,2009,30.4,33.8,28.2,77,25.7,1008.6,YES,NO
31,8,2009,29.9,33.9,27.2,74,24.7,1009.0,NO,NO
1,8,2010,30.0,32.7,28.3,79,25.9,1010.3,YES,NO
2,8,2010,29.4,32.7,28.0,79,25.4,1010.3,NO,NO
3,8,2010,29.1,32.2,27.3,76,24.4,1007.5,NO,NO
4,8,2010,30.0,33.1,27.5,74,24.7,1005.1,YES,NO
5,8,2010,29.4,33.7,24.3,79,25.2,1005.5,NO,NO
6,8,2010,28.4,32.2,25.0,81,24.8,1006.0,NO,YES
7,8,2010,28.8,32.2,25.7,84,25.7,1004.5,NO,YES
8,8,2010,28.8,32.2,25.8,84,25.8,1003.5,NO,YES
9,8,2010,29.6,32.6,27.7,82,26.2,1003.9,NO,YES
10,8,2010,30.2,33.7,28.0,77,25.6,1006.2,YES,NO
11,8,2010,28.3,30.1,26.9,88,26.1,1008.7,NO,YES
12,8,2010,29.3,32.6,27.1,79,25.2,1009.5,NO,NO
13,8,2010,29.8,32.7,27.9,79,25.7,1008.7,NO,NO
14,8,2010,29.4,31.7,28.0,79,25.3,1009.2,NO,NO
15,8,2010,28.1,29.6,26.1,83,24.9,1010.4,NO,YES
16,8,2010,27.1,30.1,25.3,85,24.3,1010.3,NO,YES
17,8,2010,28.3,32.6,26.2,83,25.1,1010.1,NO,YES
18,8,2010,28.6,30.9,26.9,84,25.5,1011.7,NO,YES
19,8,2010,27.5,30.1,25.3,92,26.1,1012.9,NO,YES
20,8,2010,28.0,32.1,24.5,85,25.1,1012.6,NO,YES
21,8,2010,29.4,32.8,27.2,78,25.1,1009.8,NO,NO
22,8,2010,28.9,31.9,26.5,83,25.7,1008.4,NO,YES
23,8,2010,28.5,31.8,25.1,84,25.5,1008.6,NO,YES
24,8,2010,26.5,29.3,25.3,93,25.2,1010.4,NO,YES
25,8,2010,28.0,30.5,26.3,82,24.6,1010.4,NO,YES
26,8,2010,28.4,31.5,27.2,82,25.0,1008.7,NO,YES
27,8,2010,28.8,32.0,26.4,78,24.5,1007.5,NO,NO
28,8,2010,27.9,30.8,24.7,81,24.3,1007.2,NO,YES
29,8,2010,29.2,32.9,27.1,78,24.8,1006.6,NO,NO
30,8,2010,29.7,32.6,27.7,74,24.4,1004.1,NO,NO
31,8,2010,30.4,33.0,28.1,69,23.8,1002.4,YES,NO
1,8,2011,29.5,33.7,26.8,76,24.5,1005.5,NO,NO
2,8,2011,29.5,32.9,27.3,73,24.1,1006.7,NO,NO
3,8,2011,29.5,32.6,27.2,73,24.1,1005.8,NO,NO
4,8,2011,29.9,34.2,27.3,75,25.0,1002.9,NO,NO
5,8,2011,30.1,33.5,27.8,74,24.9,1001.1,YES,NO
6,8,2011,30.2,33.2,28.0,74,24.9,1000.2,YES,NO
7,8,2011,30.9,35.0,28.6,75,25.7,1002.1,YES,NO
8,8,2011,29.2,31.1,25.6,79,25.2,1004.3,NO,NO
9,8,2011,28.0,31.5,26.0,86,25.4,1004.5,NO,YES
10,8,2011,26.8,28.3,25.2,92,25.3,1005.8,NO,YES
11,8,2011,28.7,32.2,26.0,83,25.4,1007.9,NO,YES
12,8,2011,29.4,32.0,27.6,78,25.2,1008.0,NO,NO
13,8,2011,29.6,32.9,27.9,75,24.5,1008.8,NO,NO
14,8,2011,29.6,32.8,28.0,74,24.3,1010.6,NO,NO
15,8,2011,29.7,31.9,27.9,76,25.0,1011.0,NO,NO
